rank,fit,StoreCode,net_sales,gross_sales,return_amount,discount_amount,net_qty,n_rows,gross_h1,gross_h2,growth_index,growth_ratio_h2_h1,return_rate_amount,discount_intensity,net_share_pct,potential_score,pctile_growth_index,pctile_return_rate_amount,pctile_discount_intensity,pctile_net_share_pct,score_excl_discount
523,Mom,1813,15977.311,20881.551,-4904.24,614.5,18,30,7159.831,13721.72,0.3142,1.9165,0.2349,0.0408,0.0896,55.3,48.2,62.2,42.4,80.0,58.5
524,Flare,1810,10697.15,12922.5,-2225.35,1227.9545,11,17,3216.09,9706.41,0.5022,3.0181,0.1722,0.1013,0.06,55.3,63.5,76.8,9.3,59.1,66.8
525,Flare,1513,801.68,8181.74,-7380.06,-630.0364,-1,17,909.08,7272.66,0.7778,8.0,0.902,0.0,0.0045,55.2,89.8,1.5,93.3,1.6,45.7
526,Super Skinny,1555,10860.4406,12734.1506,-1873.71,-372.7273,11,17,7188.7406,5545.41,-0.129,0.7714,0.1471,0.0,0.0609,55.2,17.2,82.7,93.3,60.1,45.7
527,Flare,1576,22181.137,31840.127,-9658.99,1409.9091,23,43,9510.3299,22329.7971,0.4026,2.348,0.3034,0.0424,0.1244,55.2,54.3,46.6,40.1,92.0,59.0
528,Flare,1814,15084.6757,24331.5457,-9246.87,281.3182,13,35,7231.3557,17100.19,0.4056,2.3647,0.38,0.0212,0.0846,55.2,54.8,30.5,69.6,78.1,51.6
529,Straight,1679,4799.97,10727.18,-5927.21,-436.3636,4,16,1818.16,8909.02,0.661,4.9,0.5525,0.0,0.0269,55.2,79.2,10.6,93.3,14.7,45.7
530,Wide Leg,1885,15740.2308,21012.9108,-5272.68,0.0,14,24,10491.6208,10521.29,0.0014,1.0028,0.2509,0.0,0.0883,55.1,25.0,58.2,93.3,79.3,45.6
531,Wide Leg,1559,17541.2772,21547.7872,-4006.51,906.3727,16,26,7961.2903,13586.4969,0.2611,1.7066,0.1859,0.049,0.0984,55.1,44.0,74.0,32.0,84.1,60.9
532,Super Skinny,1690,6139.85,9223.46,-3083.61,-280.0,6,12,2636.33,6587.13,0.4283,2.4986,0.3343,0.0,0.0344,55.1,56.4,40.6,93.3,25.0,45.6
533,Flare,1547,7676.1909,9676.1709,-1999.98,362.5454,8,12,2818.1509,6858.02,0.4175,2.4335,0.2067,0.0361,0.0431,55.1,55.8,69.8,49.1,36.9,56.6
534,Wide Leg,1662,15871.3136,21138.6236,-5267.31,-241.7364,14,24,10636.27,10502.3536,-0.0063,0.9874,0.2492,0.0,0.089,55.1,24.5,58.7,93.3,79.9,45.6
535,Flare,1678,6386.8176,9486.2276,-3099.41,482.0364,6,14,818.17,8668.0576,0.8275,10.5944,0.3267,0.0762,0.0358,55.0,93.5,41.8,15.2,27.2,64.9
536,Mom,1845,18027.2773,20845.4273,-2818.15,1217.7455,21,27,8251.7055,12593.7219,0.2083,1.5262,0.1352,0.0552,0.1011,55.0,39.1,84.5,26.8,85.6,62.0
537,Super Skinny,1699,9561.0751,12700.1251,-3139.05,-250.0,9,17,5025.39,7674.7351,0.2086,1.5272,0.2472,0.0094,0.0536,55.0,39.2,59.1,83.8,51.7,47.8
538,Mom,1578,32324.8978,44570.1978,-12245.3,504.6455,36,64,20344.9978,24225.2,0.0871,1.1907,0.2747,0.0177,0.1813,54.9,30.3,52.2,74.9,98.3,49.9
539,Mom,1856,20501.4816,26626.3116,-6124.83,807.5091,22,38,10369.3895,16256.9221,0.2211,1.5678,0.23,0.038,0.115,54.9,40.5,63.9,46.1,89.9,57.1
540,Flare,1597,6884.5444,8275.4344,-1390.89,0.0,7,11,2911.8444,5363.59,0.2963,1.842,0.1681,0.0288,0.0386,54.8,47.2,77.9,59.1,30.6,53.7
541,Super Skinny,1936,18773.0705,25515.7505,-6742.68,-80.1909,19,35,10066.9569,15448.7936,0.2109,1.5346,0.2643,0.0275,0.1053,54.7,39.5,54.3,61.2,87.1,53.0
542,Flare,1578,28845.2186,46205.6686,-17360.45,229.9818,28,66,15821.046,30384.6227,0.3152,1.9205,0.3757,0.0249,0.1618,54.7,48.4,31.3,65.0,96.8,52.1
543,Flare,1919,8918.12,13045.34,-4127.22,81.8091,8,18,3954.5,9090.84,0.3937,2.2989,0.3164,0.0171,0.05,54.7,53.9,44.2,75.8,46.1,49.4
