StoreCode,net_sales,gross_sales,return_amount,n_rows,net_qty,rank,share_pct,cum_share_pct,return_rate_amount
1720,14845.3,21717.95,-6872.65,32,16,310,0.08,97.88,0.32
1629,14388.55,15301.2,-912.65,15,13,311,0.08,97.96,0.06
1569,14178.74,21743.37,-7564.63,30,14,312,0.08,98.04,0.35
1761,14015.85,34158.37,-20142.52,57,13,313,0.08,98.12,0.59
1568,13843.42,21799.7,-7956.28,33,13,314,0.08,98.19,0.36
1642,13827.14,23886.73,-10059.59,36,14,315,0.08,98.27,0.42
1784,13552.6,19691.41,-6138.81,28,14,316,0.08,98.35,0.31
1609,13391.35,18848.79,-5457.44,22,12,317,0.08,98.42,0.29
1719,13247.03,15857.39,-2610.36,21,13,318,0.07,98.5,0.16
1515,13150.09,18104.59,-4954.5,24,14,319,0.07,98.57,0.27
1733,12998.45,16362.06,-3363.61,23,17,320,0.07,98.64,0.21
1781,12963.87,13782.04,-818.17,16,14,321,0.07,98.72,0.06
1531,12745.66,17873.96,-5128.3,24,14,322,0.07,98.79,0.29
1881,12439.2,26060.36,-13621.16,48,16,323,0.07,98.86,0.52
1724,12236.77,19463.98,-7227.21,27,13,324,0.07,98.93,0.37
1934,12170.77,24225.2,-12054.43,38,14,325,0.07,98.99,0.5
1600,11984.58,20911.77,-8927.19,31,13,326,0.07,99.06,0.43
1893,11769.52,16143.21,-4373.69,21,11,327,0.07,99.13,0.27
1792,11486.48,12968.28,-1481.8,19,15,328,0.06,99.19,0.11
1697,9767.5,9767.5,0.0,9,9,329,0.05,99.25,0.0
1611,9139.52,10884.96,-1745.44,13,9,330,0.05,99.3,0.16
1745,8963.65,12499.96,-3536.31,19,9,331,0.05,99.35,0.28
1901,8961.16,8961.16,0.0,4,4,332,0.05,99.4,0.0
1601,8689.88,14962.55,-6272.67,21,9,333,0.05,99.45,0.42
1562,8473.98,13564.84,-5090.86,19,9,334,0.05,99.49,0.38
1656,8267.89,11131.72,-2863.83,14,8,335,0.05,99.54,0.26
1787,8237.32,12510.01,-4272.69,16,8,336,0.05,99.59,0.34
1723,8143.4,9325.21,-1181.81,12,10,337,0.05,99.63,0.13
1702,8065.5,9927.19,-1861.69,11,7,338,0.05,99.68,0.19
1682,7362.52,8612.51,-1249.99,11,7,339,0.04,99.72,0.15
1668,7084.48,13963.35,-6878.87,26,10,340,0.04,99.76,0.49
1528,7023.79,13232.79,-6209.0,23,7,341,0.04,99.8,0.47
1617,6711.65,7538.91,-827.26,8,6,342,0.04,99.84,0.11
1683,6541.23,17076.25,-10535.02,29,7,343,0.04,99.87,0.62
1664,5395.63,6778.13,-1382.5,8,4,344,0.03,99.9,0.2
1783,5286.93,9659.61,-4372.68,16,6,345,0.03,99.93,0.45
1705,3430.89,3430.89,0.0,3,3,346,0.02,99.95,0.0
1707,3177.52,3177.52,0.0,6,6,347,0.02,99.97,0.0
1610,2905.14,5440.97,-2535.83,9,3,348,0.02,99.99,0.47
1606,1272.72,1272.72,0.0,1,1,349,0.01,99.99,0.0
1691,1181.81,1181.81,0.0,1,1,350,0.01,100.0,0.0
