fit,StoreCode,net_sales,gross_sales,return_amount,discount_amount,net_qty,n_rows,gross_h1,gross_h2,growth_index,growth_ratio_h2_h1,return_rate_amount,discount_intensity,net_share_pct
Wide Leg,1648,-837.11,0.0,-837.11,0.0,-1,1,0.0,0.0,,,,,-0.0047
Wide Leg,1649,1772.7,2472.69,-699.99,609.0909,3,5,590.89,1881.8,0.5221,3.1847,0.2831,0.2688,0.0099
Wide Leg,1653,4336.33,4336.33,0.0,0.0,4,4,2090.89,2245.44,0.0356,1.0739,0.0,0.0,0.0243
Wide Leg,1659,-2981.79,827.26,-3809.05,-163.6364,-3,5,0.0,827.26,1.0,,4.6044,0.3,-0.0167
Wide Leg,1661,1940.6816,4204.3016,-2263.62,-78.4909,2,6,909.08,3295.2216,0.5675,3.6248,0.5384,0.026,0.0109
Wide Leg,1664,1272.72,1272.72,0.0,0.0,1,1,0.0,1272.72,1.0,,0.0,0.0,0.0071
Wide Leg,1668,1181.81,1181.81,0.0,0.0,1,1,0.0,1181.81,1.0,,0.0,0.0,0.0066
Wide Leg,1670,1186.81,2795.88,-1609.07,0.0,1,5,0.0,2795.88,1.0,,0.5755,0.1125,0.0067
Wide Leg,1676,6138.5909,7229.4909,-1090.9,106.8182,6,8,2411.3409,4818.15,0.3329,1.9981,0.1509,0.0146,0.0344
Wide Leg,1678,-781.81,0.0,-781.81,0.0,-1,1,0.0,0.0,,,,,-0.0044
Wide Leg,1682,192.18,1196.72,-1004.54,-177.2727,0,2,0.0,1196.72,1.0,,0.8394,0.0,0.0011
Wide Leg,1683,181.82,1181.81,-999.99,0.0,0,2,0.0,1181.81,1.0,,0.8462,0.0,0.001
Wide Leg,1684,2595.6709,5963.8309,-3368.16,-177.2727,2,8,2272.71,3691.1209,0.2378,1.6241,0.5648,0.0,0.0146
Wide Leg,1693,3735.3764,4621.7264,-886.35,0.0,3,5,0.0,4621.7264,1.0,,0.1918,0.0,0.0209
Wide Leg,1695,3979.7102,4525.1602,-545.45,0.0,3,5,2181.8,2343.3602,0.0357,1.074,0.1205,0.0,0.0223
Wide Leg,1697,1363.63,1363.63,0.0,0.0,1,1,0.0,1363.63,1.0,,0.0,0.0,0.0076
Wide Leg,1698,-763.63,0.0,-763.63,-327.2727,-1,1,0.0,0.0,,,,,-0.0043
Wide Leg,1702,1272.72,1272.72,0.0,0.0,1,1,0.0,1272.72,1.0,,0.0,0.0,0.0071
