store_code,year_month,net_sales,gross_sales,return_amount,net_quantity,n_transactions,had_sales
1518,2024-07,959.1000000000003,4881.77,-3922.67,0,10,True
1518,2024-08,3545.43,5181.77,-1636.3400000000001,3,7,True
1518,2024-09,11139.28,12999.890000000001,-1860.6100000000001,10,14,True
1518,2024-10,3176.8599999999997,5085.93,-1909.0700000000002,3,7,True
1518,2024-11,1952.1399999999999,3043.04,-1090.9,2,4,True
1518,2024-12,5515.33002,6697.140020000001,-1181.81,6,8,True
1518,2025-01,3727.25,4909.0599999999995,-1181.81,3,5,True
1519,2024-02,1793.2777,2611.4477,-818.17,2,4,True
1519,2024-03,4483.45708,4483.45708,0.0,5,5,True
1519,2024-04,3954.5,7454.46,-3499.96,4,12,True
1519,2024-05,69.74335999999994,1978.81336,-1909.0700000000002,0,4,True
1519,2024-06,5181.77,7999.92,-2818.15,5,11,True
1519,2024-07,1090.9,3727.23,-2636.33,1,7,True
1519,2024-08,10273.54,10273.54,0.0,10,10,True
1519,2024-09,5195.68,10768.35,-5572.67,5,17,True
1519,2024-10,3742.3999999999996,7515.09,-3772.6900000000005,3,11,True
1519,2024-11,8928.0309,9894.9709,-966.94,8,10,True
1519,2024-12,7671.79305,8853.60305,-1181.81,7,9,True
1519,2025-01,10890.06818,15341.348179999999,-4451.28,9,17,True
1520,2024-02,-581.81,0.0,-581.81,-1,1,True
1520,2024-03,5770.68592,7679.75592,-1909.0700000000002,7,11,True
1520,2024-04,878.31076,3514.6407600000002,-2636.33,1,7,True
1520,2024-05,1062.31492,2526.94492,-1464.63,1,5,True
1520,2024-06,733.0000000000001,2909.06,-2176.06,0,6,True
1520,2024-07,-272.72,999.99,-1272.71,-1,3,True
1520,2024-08,4863.58,6327.2,-1463.62,7,11,True
1520,2024-09,4699.95,9245.37,-4545.42,5,13,True
1520,2024-10,3561.45453,5652.34453,-2090.8900000000003,4,8,True
1520,2024-11,4018.1400000000003,5199.95,-1181.81,4,6,True
1520,2024-12,1755.9484599999998,3755.92846,-1999.98,2,6,True
1520,2025-01,2363.62,3272.7,-909.08,2,4,True
1521,2024-02,1746.68852,1746.68852,0.0,2,2,True
1521,2024-03,2636.33,3545.41,-909.08,3,5,True
1521,2024-04,1272.6999999999998,2363.6,-1090.9,2,4,True
1521,2024-05,2818.1499999999996,4545.4,-1727.25,3,7,True
1521,2024-06,-874.11,2034.95,-2909.06,-1,5,True
1521,2024-07,-518.1800000000001,572.72,-1090.9,0,2,True
