store_code,net_sales,gross_sales,return_amount,return_rate_amount,net_quantity,n_transactions,avg_line_amount,revenue_rank,revenue_share_pct,revenue_tier,active_months,first_sale_date,last_sale_date,top_fit,top_fit_share_pct
1656,8267.89091,11131.72091,-2863.83,0.2573,8,14,590.56,335,0.0464,C,6,2024-07-24,2025-01-01,Straight,56.68
1787,8237.31632,12510.00632,-4272.6900000000005,0.3415,8,16,514.83,336,0.0462,C,8,2024-02-23,2025-01-30,Super Skinny,27.43
1723,8143.4026,9325.2126,-1181.81,0.1267,10,12,678.62,337,0.0457,C,7,2024-02-18,2025-01-23,Mom,35.28
1702,8065.5,9927.19,-1861.69,0.1875,7,11,733.23,338,0.0452,C,3,2024-11-14,2025-01-31,Straight,53.2
1682,7362.52,8612.51,-1249.99,0.1451,7,11,669.32,339,0.0413,C,3,2024-11-14,2025-01-25,Flare,53.74
1668,7084.48273,13963.35273,-6878.87,0.4926,10,26,272.48,340,0.0397,C,6,2024-08-15,2025-01-18,Straight,46.93
1528,7023.78513,13232.78513,-6209.0,0.4692,7,23,305.38,341,0.0394,C,11,2024-02-26,2025-01-24,Flare,49.7
1617,6711.65,7538.91,-827.26,0.1097,6,8,838.96,342,0.0376,C,3,2024-11-29,2025-01-17,Flare,35.66
1683,6541.23,17076.25,-10535.02,0.6169,7,29,225.56,343,0.0367,C,10,2024-02-14,2025-01-29,Flare,42.06
1664,5395.63,6778.13,-1382.5,0.204,4,8,674.45,344,0.0303,C,3,2024-11-13,2025-01-14,Straight,35.98
1783,5286.93124,9659.61124,-4372.68,0.4527,6,16,330.43,345,0.0297,C,9,2024-02-21,2025-01-19,Mom,35.02
1705,3430.8899,3430.8899,0.0,0.0,3,3,1143.63,346,0.0192,C,1,2025-01-12,2025-01-28,Baggy,71.54
1707,3177.5195599999997,3177.5195599999997,0.0,0.0,6,6,529.59,347,0.0178,C,2,2024-12-18,2025-01-28,Wide Leg,77.89
1610,2905.13574,5440.96574,-2535.83,0.4661,3,9,322.79,348,0.0163,C,5,2024-03-03,2024-12-05,Slim Straight,59.36
1606,1272.72,1272.72,0.0,0.0,1,1,1272.72,349,0.0071,C,1,2025-01-31,2025-01-31,Baggy,100.0
1691,1181.81,1181.81,0.0,0.0,1,1,1181.81,350,0.0066,C,1,2025-01-26,2025-01-26,Straight,100.0
